Cod_Loc,IdProvincia,IdDepartamento,Observaciones,Categoría,Provincia,Departamento,Localidad,Nombre,Dirección,Piso,CP,cod_area,Teléfono,Mail,Web,Información adicional,Latitud,Longitud,TipoLatitudLongitud,Fuente,tipo_gestion,Pantallas,Butacas,espacio_INCAA,año_actualizacion
6882050,6,6882,,Salas de cine,Buenos Aires,Zarate,Zarate,Cine Teatro Coliseo,19 De marzo 0314,s/d,2800,11,65992021,maquintero78@gmail.com,https://es-la.facebook.com/ZarateCineTeatroColiseo/,,-3409752900,-5902214500,Localización precisa,INCAA / SInCA,Privado comercial,1,300,,2018
6441030,6,6441,,Salas de cine,Buenos Aires,La Plata,La Plata,Cine Municipal Ecoselect,19 Y 51,Piso 2,1900,221,4248733,cineylocacioneslaplata@gmail.com,http://www.cultura.laplata.gov.ar,,-3492654600,-5796157700,Localización precisa,INCAA / SInCA,Público municipal,1,60,SI,2018
6357110,6,6357,,Salas de cine,Buenos Aires,General Pueyrredon,Mar del Plata,Cinemacenter,Alberti 1610,s/d,7600,11,52180400,gzamora@cinemacenter.com.ar,http://www.cinemacenter.com.ar/,,-3801162000,-5754293900,Localización precisa,INCAA / SInCA,Privado comercial,6,1121,,2018
6714060,6,6714,,Salas de cine,Buenos Aires,Salto,Salto,Cervantes,Alvear 65,s/d,2741,2474,551096,j.burgos.ceres@hotmail.com,http://saltoyvos.com/tag/cine_cervantes/,,-3429298600,-6025526400,Localización precisa,INCAA / SInCA,Privado comercial,1,220,,2018
6035010,6,6035,,Salas de cine,Buenos Aires,Avellaneda,Avellaneda,Village,Autopista Bs. As. - La Plata Km 6,s/d,1870,s/d,51282828,village.avellaneda@village.com.ar,http://facebook.com/cinecervantes3d,,-3468020600,-5833277700,Localización precisa,INCAA / SInCA,Privado comercial,16,3485,,2018
6035010,6,6035,,Salas de cine,Buenos Aires,Avellaneda,Avellaneda,Carlos Carella,Av. Galicia 401,s/d,1870,11,37608002,edulabce@hotmail.com,www.unica-cartelera.com.ar/teatros/259-sala-carlos-carella,,-3467374800,-5838670200,Localización precisa,INCAA / SInCA,Privado comercial,1,45,,2018
6490010,6,6490,,Salas de cine,Buenos Aires,Lomas de Zamora,Lomas de Zamora,Cine Teatro Español Lomas De Zamora,Av. Hipolito Yrigoyen 9070,s/d,1832,s/d,42430381,lomasteatroespanol@gmail.com,https://www.facebook.com/cineteatroespanol/,,-3476125100,-5840263100,Localización precisa,INCAA / SInCA,Público municipal,1,522,SI,2018
6539010,6,6539,,Salas de cine,Buenos Aires,Merlo,San Antonio de Padua,Village,Av. Juan Domingo Peron 24056,s/d,1718,s/d,51688888,village.merlo@village.com.ar,https://www.villagecines.com/,,-3466661000,-5870290200,Localización precisa,INCAA / SInCA,Privado comercial,6,1315,,2018
6840010,6,6840,,Salas de cine,Buenos Aires,Tres de Febrero,Santos Lugares,Cine Teatro Ocean,Av. La Plata 3530,s/d,1676,s/d,47579861,inoya@tresdefebrero.gov.ar,https://www.tresdefebrero.gov.ar/noticias/cultura-y-educacin/reinauguracion-del-cine-teatro-ocean/,,-3460130100,-5854387300,Localización precisa,INCAA / SInCA,Público municipal,1,271,,2018
6014010,6,6014,,Salas de cine,Buenos Aires,Adolfo Gonzales Chaves,Gonzales Chaves,Cine Coliseo,Av. San Martin 235,Piso 1,7513,2983,481740,sespagch@hotmail.com,https://www.facebook.com/pg/ZarateCineTeatroColiseo/about/?ref=page_internal,,-3803123200,-6009603700,Localización precisa,INCAA / SInCA,Privado comercial,1,250,SI,2018
